subject,topic,question_text,option_a,option_b,option_c,option_d,correct_option,difficulty,explanation,question_id
Physics,Mechanics,A ball is thrown vertically upwards with a velocity of 20 m/s from the top of a tower of height 25 m. How high will the ball rise from the ground? (take g = 10 m/s^2),20 m,45 m,25 m,50 m,B,Medium,Rise from top = u^2/2g = 20^2 / (2*10) = 400/20 = 20m. Total height from ground = 25 + 20 = 45m.,1
Physics,Mechanics,"A block of mass 2 kg is placed on a floor. The coefficient of static friction is 0.4. If a force of 2.8 N is applied on the block parallel to the floor, the force of friction between the block and floor is:",2.8 N,8 N,2 N,Zero,A,Hard,"Max static friction = mu*N = 0.4 * 2 * 10 = 8 N. Since applied force (2.8N) < Max friction, the friction is equal to the applied force (static case).",2
Physics,Electrodynamics,"The capacity of a parallel plate capacitor is 10 mF. If the distance between the plates is halved and the dielectric constant becomes 4, the new capacity will be:",20 mF,40 mF,80 mF,100 mF,C,Medium,"C = K * epsilon0 * A / d. If K -> 4K and d -> d/2, then C' = 4 * C / (1/2) = 8C = 8 * 10 = 80 mF.",3
Chemistry,Organic Chemistry,Which of the following undergoes nucleophilic substitution exclusively by SN1 mechanism?,Ethyl chloride,Isopropyl chloride,Benzyl chloride,Chlorobenzene,C,Hard,"Benzyl carbocation is highly stabilized by resonance, favoring SN1 mechanism.",4
Chemistry,Organic Chemistry,The major product of the reaction between Propene and HBr in the presence of peroxide is:,2-Bromopropane,1-Bromopropane,"1,2-Dibromopropane",2-Bromopropene,B,Medium,"In presence of peroxide, HBr adds via anti-Markovnikov mechanism (Kharasch effect), placing Br at the primary carbon.",5
Mathematics,Calculus,The value of the limit as x approaches 0 of (sin x / x) is:,0,1,Infinity,Not defined,B,Easy,Standard trigonometric limit.,6
Mathematics,Calculus,"If y = log(sin x), then dy/dx is equal to:",tan x,cot x,sec x,cosec x,B,Easy,dy/dx = (1/sin x) * cos x = cot x.,7
Biology,Genetics,A cross between a homozygous recessive and a heterozygous individual is called:,Test cross,Back cross,Monohybrid cross,Dihybrid cross,A,Easy,A test cross is used to determine the genotype of an individual with a dominant phenotype by crossing it with a homozygous recessive individual.,8
Biology,Genetics,The 'Power house' of the cell is:,Nucleus,Ribosome,Mitochondria,Golgi body,C,Easy,Mitochondria are responsible for ATP production via cellular respiration.,9
Physics,Mechanics,Advanced Easy level problem #1 on Mechanics involving Physics principles. Consider the core concepts of this chapter for JEE/NEET.,Conceptual Answer A for Mechanics 1,Conceptual Answer B for Mechanics 1,Conceptual Answer C for Mechanics 1,Conceptual Answer D for Mechanics 1,A,Easy,Deep dive into Mechanics (Easy): Use the standard formulas and logical deduction required for competitive exams.,10
Physics,Mechanics,Advanced Easy level problem #2 on Mechanics involving Physics principles. Consider the core concepts of this chapter for JEE/NEET.,Conceptual Answer A for Mechanics 2,Conceptual Answer B for Mechanics 2,Conceptual Answer C for Mechanics 2,Conceptual Answer D for Mechanics 2,A,Easy,Deep dive into Mechanics (Easy): Use the standard formulas and logical deduction required for competitive exams.,11
